company,origin_flag,flag_basis,possible_merge_artifact,occurrences_in_pdf,pdf_pages,description
RADIATORS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,14,"48kV Class-3 Polymer Surge Arrester/LA durability and reliability. 42kV to 216kV Class-4 Polymer Surge Radiators, oil coolers, intercoolers, custom Arrester/LA 42kV to 198kV Class-3 EUROSTAR ENGINEERING PVT LTD heat exchangers for railways, Genset, Porcelain Surge Arrester Smartgrid construction, mi"
"RAIL COACH FACTORY, KAPURTHALA",LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"22,32","Mock up of latest developed designs of rolling stock along with models of new development in coach manufacturing . Besides, the product range, production capabilities and achievements of RCF will be displayed through miniature models and backlit artwork display."
"RAIL COACH FACTORY, KAPURTHALA RATUSARIA INDUSTRIES PRIVATE RUPKALA ENGINEERS PVT LTD LIMITED",FOREIGN-PARENT (India subsidiary/JV),"name contains ""USA""",True,1,34,"RENMAKCH is successfully Manufacturing Mock up of latest developed designs of Mobile Lifting Jacks, Bogie Turn Tables, RIVER ENGINEERING PVT LTD Specialized in manufacturing Metro Gears rolling stock along with models of new Light Weight Rails Wagon Parts Rail Track Multi-Purpose Workstations, Batte"
RAIL VIKAS NIGAM LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"22,32",(i) Undertaking project development and execution of works on fast track basis. (ii) Creating Project specific SPVs for projects. (iii) Recently Govt. asked RVNL to expand in all types of infrastructure and also not limited to India.
RAIL VIKAS NIGAM LIMITED ORGANISATION,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,11,"23,24,25,26,27,28,29,30,31,33,34",Euro Balise Cable Screened Signaling cable (i) Undertaking project development and Fire alarm cable systems Public address Research & Development of New & execution of works on fast track basis. systems Earthing cable Improved Designs/Technology.Testing & (ii) Creating Project specific SPVs for reco
RAIL WHEEL FACTORY,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,13,"22,23,24,25,26,27,28,29,30,31,32,33,34","RWF manufacturers various Wheels, Axles and Wheelsets for use in Loco, Freight and Passenger applications. Cast wheels ranges from 725mm to 1100mm in diameter and"
"Rail Wheel Plant, Bela",LIKELY INDIAN-DOMESTIC (unconfirmed),,False,16,"22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38","variable frequency drives, and custom power Manufacturing of wheels for Indian Railways supplies. Compliant with EN50155, by Casting Process. Four types of wheels are EN61373, and EN45545 (HL-2/HL-3) being manufactured. (i) Box N Wheel (ii) Bgc Wheel (iii) Blc Wheel (iv) Emu Wheel REMSONS EDGE TECHN"
RAMCO STEELS PVT LTD. RR KABEL LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,1,34,"The portfolio include oil distribution (up to 10 Slack Adjuster - 750 , 600 & 600J Brake institutional buildings, inland waterways, etc. MVA), cast resin (up to 25 MVA) and power We manufacture and export anti-vibration Cylinder - 305 mm & 355 mm Air Brake Spread across multiple business verticals t"
RENMAKCH INDIA PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,34,hoses.
"RENMAKCH INDIA PVT. LTD. RAIL COACH FACTORY, KAPURTHALA RATUSARIA INDUSTRIES PRIVATE LIMITED",FOREIGN-PARENT (India subsidiary/JV),"name contains ""USA""",True,10,"23,24,25,26,27,28,29,30,31,33","RENMAKCH is successfully Manufacturing Mock up of latest developed designs of Mobile Lifting Jacks, Bogie Turn Tables, rolling stock along with models of new Light Weight Rails Wagon Parts Rail Track Multi-Purpose Workstations, Battery development in coach manufacturing . Parts Metal Liner Bars Stee"
RENMAKCH INDIA PVT. LTD. RATUSARIA INDUSTRIES PRIVATE LIMITED,FOREIGN-PARENT (India subsidiary/JV),"name contains ""USA""",True,1,22,"RENMAKCH is successfully Manufacturing Mobile Lifting Jacks, Bogie Turn Tables, Light Weight Rails Wagon Parts Rail Track Multi-Purpose Workstations, Battery Parts Metal Liner Bars Steel Sleepers Operated Rail Cum Road Shunters, Bogie Testing Machines and other equipment RAVICAB CABLES PRIVATE LIMIT"
RESEARCH DESIGNS & STANDARDS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,12,"22,23,24,25,26,27,28,29,30,31,33,34",Cable Quad Cable Quad Cable 1.4 Balise &
RESEARCH DESIGNS & STANDARDS SAINT-GOBAIN INDIA,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,35,"Cable Quad Cable Quad Cable 1.4 Balise & Panels,AMC Business. Railways Management Systems, Railways RAIL VIKAS NIGAM LIMITED ORGANISATION Epoxy's, Resin, Fire Plug-ins, Locomotive Euro Balise Cable Screened Signaling cable Construction, Upgrading, Maintenance and In India Saint-Gobain is present in "
RESEARCH DESIGNS & STANDARDS SAINT-GOBAIN INDIA SENSEDGE TRANSPORTATION,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,36,"Cable Quad Cable Quad Cable 1.4 Balise & Panels,AMC Business. Railways Management Systems, Railways construction sites Radio remote control RAIL VIKAS NIGAM LIMITED ORGANISATION Epoxy's, Resin, Fire Plug-ins, Locomotive SYSTEMS AND SOLUTIONS Euro Balise Cable Screened Signaling cable Construction, U"
RESISTOFLEX DYNAMICS PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,12,"22,23,24,25,26,27,28,29,30,31,33,34","Flange, Centralized, Oil-Air, and Chain Lubrication Systems backed by global WE offer a comprehensive range of products expertise and local support. for RAILWAYS including: Air Spring Systems Vibration & Seismic Isolation Automatic Sliding Doors Inter Coach Gangways We continue to bring reliability "
RESISTOFLEX DYNAMICS PVT LTD PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,2,"35,36","Flange, Centralized, Oil-Air, and Chain Circuit Breaker Panel, Outdoor Railway RAIL WHEEL FACTORY Doors, Windows, Driver Cabins, Foot Rest, Lubrication Systems backed by global WE offer a comprehensive range of products ROTARY ELECTRONICS PVT LTD Vacuum Circuit Breaker, Intelligent Doors and Toilet "
SAMTEL AVIONICS LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,6,"33,34,35,36,37,38","RITES LTD sanding, exhaust cutout, compressor sectors. We offer Ni-Cd, Li-ion, and primary Heaters, Mounting Services & Bearing and structural performance. Supported by Visulizaton systems as well as related services. Transformer monitoring and testing Recorders (NVRs), Video Management reliability "
SANMAR MATRIX METALS LTD. INDUSTRIES,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,37,"transformer (up to 120 MVA).and we supply (rubber-to-metal) parts like Inner Metal, Components, Auxiliary Reservoir - Mild Steel RITM TPTA JSC including wires & cables, fans, lighting, Traction Motor, Auxiliary motor, Compressor high-speed trains and metro systems. knowledgeable technical support at"
SANMAR MATRIX METALS LTD. INDUSTRIES PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,1,38,"transformer (up to 120 MVA).and we supply (rubber-to-metal) parts like Inner Metal, Components, Auxiliary Reservoir - Mild Steel RITM TPTA JSC including wires & cables, fans, lighting, Traction Motor, Auxiliary motor, Compressor high-speed trains and metro systems. knowledgeable technical support at"
SANMAR MATRIX METALS LTD. LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"35,36","transformer (up to 120 MVA).and we supply (rubber-to-metal) parts like Inner Metal, Components, Auxiliary Reservoir - Mild Steel RITM TPTA JSC including wires & cables, fans, lighting, Traction Motor, Auxiliary motor, Compressor to Utilities, Renwable projects and Outer Metal, Scheibe, Bolzen, React"
SARIA INDUSTRIES CORPORATION,FOREIGN,USA-style (Corporation),False,2,"35,36","rolling stock along with models of new Light Weight Rails Wagon Parts Rail Track Multi-Purpose Workstations, Battery for B23 (Alstom), Traction Gears, Pinions, AC precision-critical components, including: All Tap Changer,DI-DU Relays,Maximum Railway Carriage Fans, Automatic Doors, development in coa"
SARIA INDUSTRIES CORPORATION SI-KA-TEC GMBH ENGINEERING,FOREIGN,Germany (GmbH); USA-style (Corporation),False,1,37,"rolling stock along with models of new Light Weight Rails Wagon Parts Rail Track Multi-Purpose Workstations, Battery for B23 (Alstom), Traction Gears, Pinions, AC precision-critical components, including: All Contact Strips, Grounding Systems, gateways, wheel slide protection. Tap Changer,DI-DU Rela"
SARIA INDUSTRIES CORPORATION SI-KA-TEC GMBH ENGINEERING SOURIAU INDIA PRIVATE LIMITED SPRAYTAC ENGINEERING,FOREIGN-PARENT (India subsidiary/JV),Germany (GmbH); USA-style (Corporation),True,1,38,"rolling stock along with models of new Light Weight Rails Wagon Parts Rail Track Multi-Purpose Workstations, Battery for B23 (Alstom), Traction Gears, Pinions, AC precision-critical components, including: All Contact Strips, Grounding Systems, gateways, wheel slide protection. Tap Changer,DI-DU Rela"
SHALIMAR RUBBER & PLASTIC,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,37,"MVA), cast resin (up to 25 MVA) and power We manufacture and export anti-vibration Cylinder - 305 mm & 355 mm Air Brake Spread across multiple business verticals Powered/Non powered Bogie, AC/DC corrugation andwheel damper systems for HL2/3 certified systems, alongside Display applications, Customiz"
SHALIMAR RUBBER & PLASTIC SPNJIT ENGINEERING SOLUTIONS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,38,"MVA), cast resin (up to 25 MVA) and power We manufacture and export anti-vibration Cylinder - 305 mm & 355 mm Air Brake Spread across multiple business verticals Powered/Non powered Bogie, AC/DC corrugation andwheel damper systems for HL2/3 certified systems, alongside Display applications, Customiz"
SUGATSUNE KOGYO INDIA PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"39,40","comfort in rail carriages, locomotives, by Casting Process. Four types of wheels are EN61373, and EN45545 (HL-2/HL-3) infrastructure hubs, tunnels, and more. being manufactured. (i) Box N Wheel (ii) Bgc STAUBLI TEC SYSTEMS INDIA PVT LTD Wheel (iii) Blc Wheel (iv) Emu Wheel REMSONS EDGE TECHNOLOGIES "
SUGATSUNE KOGYO INDIA TECHNOMECH INTERNATIONAL,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,33,"loading/unloading, horn, shunting, motor batteries, along with engineering support, Samtel’s Railways product portfolio includes Refurbishment. our global technical expertise and supply. solutions, Cable termination and Software (VMS), Face Recognition Software solutions for diverse industries world"
SUGATSUNE KOGYO INDIA TECHNOMECH INTERNATIONAL PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,11,"32,34,35,36,37,38,41,42,43,44,45","by Casting Process. Four types of wheels are EN61373, and EN45545 (HL-2/HL-3) solutions for diverse industries worldwide. electrical, signaling & telecom equipment to TRAFAG CONTROLS INDIA PRIVATE being manufactured. (i) Box N Wheel (ii) Bgc STAUBLI TEC SYSTEMS INDIA PVT LTD SWITZERLAND GLOBAL ENTER"
SWASTIK OVERSEAS TESIO COOLING SYSTEMS INDIA,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,39,"We are here for rent out / sale TPL owned S-Bahn Bern, DBs new ICE-L Interior or the"
TECHNOMECH INTERNATIONAL,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"39,40","solutions for diverse industries worldwide. electrical, signaling & telecom equipment to TRAFAG CONTROLS INDIA PRIVATE SWITZERLAND GLOBAL ENTERPRISE 1.Automation Products 2. Pneumatic avoid major break-down. LIMITED SURLON DUREL SPRINGS PVT LTD Prodcuts 3. Sensors & Switches 4. Quick Switzerland Glo"
TECON TECHNOLOGIES LLP,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"39,40","polymer spring assembly. 5. Polymer Spring helps innovative foreign companies on their products for the global Automotive sector, Faiveley Transport, CG Global, CLW & DLW. for draft gear. 6. Spring of the coupling way to settling in Switzerland. EAO Switches find a varied use across a (as an OEM & a"
TELOGICA LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,39,"Aluminum Honeycomb Core , Aramid for RFID tags & inlays, high-frequency Service Data acquisition Vibration tests Bogie TRELLEBORG INDIA PRIVATE LIMITED Honeycomb Core , Honeycomb Composite magnetic components, electro-mechanicals OTDR • Fusion Splicer • Cable Fault Locator frame EN13749 Seat design "
TEMPSENS INSTRUMENTS (I) PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"39,40","HQi is the first high-tech enterprise in China SiC converters, IPMSM motors, auxiliary transformers and converters."
TESIO COOLING SYSTEMS INDIA,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,40,"S-Bahn Bern, DBs new ICE-L Interior or the"
THEETA ELECTRICALS PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"39,40","which can provide product technology, systems, seating & interiors, sleeper berths, Thermocouples, RTDs, Thermowells, system integration, operation service and driver seats, Honeycomb Partitions, flooring, Pyrometers, Thermal Imagers, Cables & Heating elements for refrigeration, cold TRICON AG techn"
TIMES FIBREFILL PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,41,1) Fire Barrier Cloth for seats and berths as per EN45545-2 2) Thermal and acoustic Insulation 3) Acoustic Partition panels
TRAFAG CONTROLS INDIA PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,41,"We are supplying our Pressure Transmitters, Pressure switches & temperature switches to Delhi metro, Medha Servo Drives, ABB, Faiveley Transport, CG Global, CLW & DLW. Our Pressure Transmitters are already used in Vande Bharat trains since inception."
TRANSMISSION DRIVE AND MOTION CONTROLS PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,41,"Rotor Shafts, plate cam, support drive, etc."
TRANSPORTATION SYSTEMS PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"43,44","Door Opening systems. Range of Pneumatic SAME AS ABOVE End-to-end System Integration of Electronic Cylinders, Electric Actuators, Pneumatic Interlocking, Train Traffic Monitoring System, Valves & Solenoid valves, Air Treatment Units"
TRELLEBORG INDIA PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,41,"(Division : Anti-vibration Solutions) Airspring Assemblies, Primary Conical Spring, and Rubber to Metal Bonded Parts for Primary and Secondary Suspension. Traction Rods and Auxiliary products for transformers and converters."
TRICON AG,FOREIGN,Germany/Switzerland/Austria (AG),False,1,41,"We offer all services around design in the public transport sector. Latest examples of our work are the vehicle designs for the repeatedly award-winning Doha Metro, S-Bahn Bern, DBs new ICE-L Interior or the coming Trams in Stuttgart or Hanover."
TRINITY TOUCH PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,41,"Trinity Touch manufactures specialized Railway Solutions including halogen-free wiring ducts, flexible conduits, enclosures, cable glands, plugs & sockets, and"
TVM SIGNALLING AND,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"43,44",VANDHANA INTERNATIONAL PVT LTD Precision control in Train Wagon Coupling &
TVM SIGNALLING AND TRANSPORTATION SYSTEMS PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"32,42","End-to-end System Integration of Electronic Interlocking, Train Traffic Monitoring System, Centralized Traffic Control & Metro AFC-SLE, in addition to design, development, manufacturing & commissioning of RDPMS, RTR-DMS & Metro AFC Gates"
TVM SIGNALLING AND VANDHANA INTERNATIONAL PVT LTD TRANSPORTATION SYSTEMS PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,10,"33,34,35,36,37,38,39,40,41,45","SAME AS ABOVE End-to-end System Integration of Electronic Interlocking, Train Traffic Monitoring System,"
ULTRA CORPOTECH PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"32,42","Services and Capabilities - Precision Machining • Heavy Fabrication and Welding • Heat Treatment • Robotic Welding and Machining • Shot blasting, spray painting, CED coating, zinc plating, powder coating, hot-dip galvanizing & glass beading"
ULTRA CORPOTECH PVT LTD VARDHMAN INDUSTRIAL FASTNERS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,10,"33,34,35,36,37,38,39,40,41,45","Services and Capabilities - Precision We are leading manufacturers of Raw Machining • Heavy Fabrication and Welding material, Forging, Fasteners & Heavy Studs & • Heat Treatment • Robotic Welding and Nuts Machining • Shot blasting, spray painting, CED coating, zinc plating, powder coating, VAS SPECT"
UNIFIED ELECTRO TECH PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,4,"32,42,43,44","DC/DC Converter, Timing And Clock Devices, Antenna, Connectors, Pressure Sensor, Vibration Sensor, Temp Sensor,speed Sensor, Switches, Emi/emcfilters, Fuses, Relay, Contactors,dc Fan,thermal Solution, Memory, Led, Diode, Capacitor, Inductor, Resistor"
UNITED TYREKRAFTS PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,14,"32,33,34,35,36,37,38,39,40,41,42,43,44,45","Quick Connect Couplings, Screw Couplings, High Pressure and Flow couplings, Multi-couplings, Cooling and Refrigeration Couplings, Skid Blocks, Ball valves, Check valves, Pressure Relief Valves, Direction Control Valves, Pressure Test Points, Manifold"
VANDHANA INTERNATINAL PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"32,42",SAME AS ABOVE
VANDHANA INTERNATIONAL PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,18,"32,33,34,35,36,37,38,39,40,41,42,43,44,45",SAME AS ABOVE
VARDHMAN INDUSTRIAL FASTNERS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"32,42","We are leading manufacturers of Raw material, Forging, Fasteners & Heavy Studs & Nuts"
VAS SPECTROMETERS PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"36,45",hot-dip galvanizing & glass beading
VAS SPECTROMETERS PVT LTD VEERA TECHNO TREC PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,2,"32,42","Fabricated Curved Switches , Switch Expansion Joints 1:20 , 60 Kg Curved Fan Shaped Switches, 1:10, 52 Kg Diamond crossing with movable switches ,Glued Insulated Rail Joints Certification Thick Web Switch Certification, erc, railway Track Fittings"
VEERA TECHNO TREC PVT LTD UNIFIED ELECTRO TECH PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,10,"33,34,35,36,37,38,39,40,41,45","Fabricated Curved Switches , Switch Expansion Joints 1:20 , 60 Kg Curved Fan DC/DC Converter, Timing And Clock Shaped Switches, 1:10, 52 Kg Diamond Devices, Antenna, Connectors, Pressure crossing with movable switches ,Glued Sensor, Vibration Sensor, Temp Insulated Rail Joints Certification Thick We"
VENUS SAFETY & HEALTH PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,4,"32,36,42,45","Venus primarily operate in 3 Segments: 1. Industrial Safety: Specialist in Neck-up PPE thru 150+ distributors across India. 2. Medical and Health: Supplier of N95 approved Respirator for State, Central Govt & Hospitals 3. Air Filtration: Filters HVAC"
VESTA AUTOMATION INDIA PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),manual research (see description),False,1,43-44 (manually recovered - parser missed this page region),"Railways - Pantograph Movement Control, Precision control in Train Wagon Coupling & Door Opening systems. Range of Pneumatic Cylinders, Electric Actuators, Pneumatic Valves & Solenoid valves, Air Treatment Units and Precision Pressure control system."
VINAYAK OIL INDUSTRIES,LIKELY INDIAN-DOMESTIC (unconfirmed),manual research (see description),False,1,43-44 (manually recovered - parser missed this page region),"Railway Oil, Railway Greases, Industrial oils, Engine Oils, Gear Oils, Hydraulic Oils, Automotive Greases, Industrial Greases & Specialized Greases"
VOESTALPINE VAE VKN INDIA PVT. LTD.,FOREIGN-PARENT (India subsidiary/JV),description notes Austrian parent,False,1,43-44 (manually recovered - parser missed this page region),voestalpine Railway Systems is the global market leader for railway infrastructure system solutions. Global track technology company and full-range supplier of fully integrated railway solutions. (Austrian parent group)
VOSSLOH INDIA,FOREIGN-PARENT (India subsidiary/JV),description notes German parent/HQ,False,1,43-44 (manually recovered - parser missed this page region),"Rail Fastenings, Turnouts for High Speed, Semi-high Speed, Conventional and Heavy Haul tracks; laying technology (Slab, Pre-cast, Embedded, Ballasted); High Speed Rail Grinding; Compact Milling of Rails & Switch Monitoring. (German parent: Vossloh AG)"
WABTEC CORPORATION (WIIPL),FOREIGN,USA-style (Corporation); description notes US parent,False,1,43-44 (manually recovered - parser missed this page region),"Diesel Electric Locomotives, Brakes, Couplers, Pantographs, HVAC, Relays, digital solutions, rubber components, wagon products. (US parent: Wabtec Corporation; India entity WIIPL)"
WAGNER RAIL GMBH,FOREIGN,Germany (GmbH); description notes German parent/HQ,False,1,43-44 (manually recovered - parser missed this page region),"False alarm-proof fire detection systems, water mist fire-fighting systems for passenger areas, gas/aerosol extinguishing systems for technical areas. (German company)"
WAGO PRIVATE LIMITED,FOREIGN-PARENT (India subsidiary/JV),description notes German parent/HQ,False,1,43-44 (manually recovered - parser missed this page region),"SMPS, Interface & Relay Modules, CTVT, Signal Conditioners, Ground Resistance Signaling Module, Rail-Mount Terminal Block Systems, I/O Systems, PLC/RTU/IPC, Ethernet Switches. (German parent: WAGO Kontakttechnik)"
WELLTEK,LIKELY INDIAN-DOMESTIC (unconfirmed),manual research (see description),False,1,43-44 (manually recovered - parser missed this page region),"Data Loggers for Trains and Sub-stations; Current, Voltage, Linear displacement, Strain Gauge, Accelerometer, Pressure Sensor measurement; IoT Solution for Rolling Stock."
WESTERMO INDIA PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,43,"Westermo offers Wireless solutions, Robust on-board switches, and Secure Trackside switches. The products are specially developed for railway and metro environments, built to withstand harsh conditions and exceeding EN 50155 and EN 50121-4 standards"
WESTERN RAILWAY,LIKELY INDIAN-DOMESTIC (unconfirmed),manual research (see description),False,1,43-44 (manually recovered - parser missed this page region),"Indian Railways zonal division. Passenger services: long-distance express, mail, and superfast trains (Rajdhani, Shatabdi, Duronto, Vande Bharat) connecting Mumbai, Ahmedabad and other cities. (Govt of India / Ministry of Railways zone, not a private exhibitor company)"
WISKA INDIA PVT LTD,FOREIGN-PARENT (India subsidiary/JV),description notes German parent/HQ,False,1,43-44 (manually recovered - parser missed this page region),"Cable Glands, Junction Boxes, Conduits, Maritime Lighting, CCTV Systems, Installation Material for industry, shipbuilding and railways; EMC and explosion-proof solutions. (German parent: WISKA)"
XTRA PRECISION SCREWS PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),manual research (see description),False,1,43-44 (manually recovered - parser missed this page region),High Tensile Fasteners
YATINIDHI CONSULTANCY PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),manual research (see description),False,1,43-44 (manually recovered - parser missed this page region),"FLS, DPR, Supervision, Consultancy Services, Survey, Etc."
ZEPHIR RAIL EQUIPMENT PVT. LTD WELSPUN BAPL PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,1,43,Interior & Exterior Trims Functional & Emission Fluid & Energy Storage Composites
ZEPHIR RAIL EQUIPMENT PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),manual research (see description),False,1,43-44 (manually recovered - parser missed this page region),(Description not captured in source PDF for this entry.)
ZF FRIEDRICHSHAFEN AG,FOREIGN,Germany/Switzerland/Austria (AG),False,2,"43,44","system for fire fighting in the passenger area, Rajdhani Express, Shatabdi Express, and gas or aerosol extinguishing systems for Duronto, Vande Bharat, and others, The company is one of the world’s protecting technical areas. connecting major cities like Mumbai, technology leaders in the area of dri"
ZIEHL-ABEGG INDIA PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"43,44","Systems, Installation & pluggable Maritime Lighting, CCTV Systems, and connectors, I/O Systems, PLC / RTU / IPC, Installation Material for industry, shipbuilding, From Pune facility, ZIEHL-ABEGG offers a Ethernet Switches, Software, and railways, offering EMC, explosion-proof, high-performance Fans "
